motion_idx,motion_name,motion_file,completion_rate,episode_length,motion_length,avg_joint_error,avg_pose_error,max_roll,max_pitch,termination_reason,difficulty_score,joint_score,pose_score,stability_score
11,0811_static_006.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_006.pkl,1.0,3250.0,42.67534255981445,0.2826600670814514,0.9280975461006165,3.1349706649780273,1.558347463607788,unknown,658.8904026786169,28.26600670814514,92.80975461006165,537.8146413604101
12,0807_yanjie_walk_041.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_041.pkl,1.0,3250.0,13.083586692810059,0.24541603028774261,8.334259986877441,3.116102695465088,1.5522541999816895,unknown,1392.9218964563106,24.54160302877426,833.4259986877441,534.9542947397922
13,0811_static_011.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_011.pkl,1.0,3250.0,36.137813568115234,0.23065447807312012,1.0723642110824585,3.1141719818115234,1.563977837562561,unknown,666.3783500756048,23.06544780731201,107.23642110824585,536.0764811600469
14,0807_yanjie_walk_034.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_034.pkl,1.0,3250.0,19.2074031829834,0.3134203553199768,2.928837299346924,3.14155912399292,1.565962553024292,unknown,863.6680135855574,31.34203553199768,292.8837299346924,539.4422481188674
15,0811_static_016.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_016.pkl,1.0,3250.0,17.139799118041992,0.2813524901866913,1.2038302421569824,1.6841844320297241,1.5500742197036743,unknown,519.1370144303588,28.13524901866913,120.38302421569824,370.61874119599145
16,0807_yanjie_walk_028.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_028.pkl,1.0,3250.0,15.227567672729492,0.2872122526168823,6.7720947265625,3.1408631801605225,1.5658891201019287,unknown,1245.284781954999,28.721225261688232,677.20947265625,539.3540840370608
17,0811_static_022.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_022.pkl,1.0,3250.0,18.23188018798828,0.24614638090133667,1.0533862113952637,3.114718198776245,1.5663478374481201,unknown,666.363914225039,24.614638090133667,105.33862113952637,536.410654995379
18,0811_static_007.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_007.pkl,1.0,3250.0,24.797836303710938,0.2601771354675293,1.0505319833755493,3.113795042037964,1.5686126947402954,unknown,667.6353144379037,26.01771354675293,105.05319833755493,536.5644025535959
19,0811_static_003.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_003.pkl,1.0,3250.0,20.447229385375977,0.2954351603984833,0.7832592725753784,3.139179229736328,1.563052773475647,unknown,646.7055394481716,29.543516039848328,78.32592725753784,538.8360961507855
20,0807_yanjie_walk_007.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_007.pkl,1.0,3250.0,17.402158737182617,0.2484893500804901,3.93381667137146,3.1412665843963623,1.5561071634292603,unknown,956.5099832371111,24.84893500804901,393.381667137146,538.2793810919161
21,0807_yanjie_walk_049.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_049.pkl,1.0,3250.0,9.675439834594727,0.24927634000778198,1.510390281677246,3.112734079360962,1.5598998069763184,unknown,711.4110639623784,24.9276340007782,151.0390281677246,535.4444017938756
22,0811_static_017.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_017.pkl,1.0,3250.0,27.038867950439453,0.251482218503952,1.5739452838897705,3.1409125328063965,1.5669671297073364,unknown,722.0260204743947,25.148221850395203,157.39452838897705,539.4832702350225
23,0807_yanjie_walk_005.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_005.pkl,1.0,3250.0,17.236679077148438,0.2439197152853012,2.323307991027832,3.0753731727600098,1.5671751499176025,unknown,788.7196207812466,24.39197152853012,232.3307991027832,531.9968501499333
24,0811_static_005.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_005.pkl,1.0,3250.0,21.89490509033203,0.22999578714370728,1.6278420686721802,2.9204118251800537,1.5643185377120972,unknown,699.6960296773775,22.999578714370728,162.78420686721802,513.9122440957888
25,0811_static_014.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_014.pkl,1.0,3250.0,27.702919006347656,0.3204130530357361,3.7381153106689453,3.1413068771362305,1.5574063062667847,unknown,944.2857054734127,32.04130530357361,373.81153106689453,538.4328691029446
26,0807_yanjie_walk_003.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_003.pkl,1.0,3250.0,16.3673038482666,0.2462959885597229,12.691666603088379,3.1393826007843018,1.5665818452835083,unknown,1833.0600617614218,24.62959885597229,1269.166660308838,539.2638025966116
